Title,Vie_Martin,Vie_Martin,Dia_Martin,Dia_Martin,Vie_Brice,Vie_Brice,Vie_Gilles,Vie_Gilles,Vie_Martial,Vie_Martial,Vie_Nicolas,Vie_Nicolas,Vie_Jerome,Vie_Jerome,Vie_Benoit,Vie_Benoit,Vie_Alexis,Vie_Alexis
Corpus,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt
ADJord->NOMcom->CONsub,0,0,3,4,0,0,0,0,0,0,0,0,0,0,1,2,0,0
ADJord->NOMcom->CONsub.PROper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ADJord->NOMcom->DETndf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJord->NOMcom->PONfbl,1,1,1,3,0,0,0,0,0,0,1,1,0,0,1,2,0,0
ADJord->NOMcom->PONfrt,1,1,2,1,0,0,0,0,0,2,1,0,0,0,1,1,0,0
ADJord->NOMcom->PRE,1,1,3,2,0,1,1,1,2,3,1,3,0,0,1,1,0,0
ADJord->NOMcom->PRE.DETdef,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ADJord->NOMcom->PROadv,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ADJord->NOMcom->PROint,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJord->NOMcom->PROper,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0
ADJord->NOMcom->PROrel,1,0,0,1,0,0,0,0,1,2,1,1,0,0,0,0,0,0
ADJord->NOMcom->VERcjg,1,2,2,3,0,0,0,0,4,4,2,1,0,0,1,2,0,0
ADJord->NOMcom->VERinf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJord->NOMpro->PONfrt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ADJord->OUT->NOMcom,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJord->PONfbl->PROper,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJord->PONfrt->CONcoo,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ADJord->PONfrt->DETdef,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJord->PONfrt->PROper,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJord->PRE->DETdef,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJord->PRE->DETpos,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJord->PRE->NOMpro,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJord->PRE->VERppa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ADJord->PROper->ADVgen,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJord->PROper->VERcjg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
