"","freq","mean prob","sample size necessary","passes"
"dement1",1,1.67250370459571e-06,13594.5593537606,FALSE
"vable",1,1.67250370459571e-06,13594.5593537606,FALSE
"decemont",1,1.67250370459571e-06,13594.5593537606,FALSE
"nocire",2,1.14924066839543e-05,2337.22951657146,FALSE
"maigniee",1,1.67250370459571e-06,13594.5593537606,FALSE
"avercevoir",1,1.67250370459571e-06,13594.5593537606,FALSE
"poisier1",1,1.67250370459571e-06,13594.5593537606,FALSE
"devinité",1,1.67250370459571e-06,13594.5593537606,FALSE
"mesmeslement",1,1.67250370459571e-06,13594.5593537606,FALSE
"tesmoigne",1,1.67250370459571e-06,13594.5593537606,FALSE
"tornion",1,1.67250370459571e-06,13594.5593537606,FALSE
"deirre",1,1.67250370459571e-06,13594.5593537606,FALSE
"sofraitel",1,1.67250370459571e-06,13594.5593537606,FALSE
"langoge",1,1.67250370459571e-06,13594.5593537606,FALSE
"honoir",1,1.67250370459571e-06,13594.5593537606,FALSE
"recotire",1,1.67250370459571e-06,13594.5593537606,FALSE
"plobliëor",1,1.67250370459571e-06,13594.5593537606,FALSE
"amuir",1,1.67250370459571e-06,13594.5593537606,FALSE
"dente",1,1.67250370459571e-06,13594.5593537606,FALSE
"ploiondier",1,1.67250370459571e-06,13594.5593537606,FALSE
"desputaire",1,1.67250370459571e-06,13594.5593537606,FALSE
"esbäance",1,1.67250370459571e-06,13594.5593537606,FALSE
"mostrance",1,1.67250370459571e-06,13594.5593537606,FALSE
"escont",1,1.67250370459571e-06,13594.5593537606,FALSE
"piloril",1,1.67250370459571e-06,13594.5593537606,FALSE
"opier",1,1.67250370459571e-06,13594.5593537606,FALSE
"desconoistre",1,1.67250370459571e-06,13594.5593537606,FALSE
"issue",1,1.67250370459571e-06,13594.5593537606,FALSE
"reneveler",1,1.67250370459571e-06,13594.5593537606,FALSE
"tresfort",1,1.67250370459571e-06,13594.5593537606,FALSE
"espendant",1,1.67250370459571e-06,13594.5593537606,FALSE
"raveillier",1,1.67250370459571e-06,13594.5593537606,FALSE
"lëurement",1,1.67250370459571e-06,13594.5593537606,FALSE
"bru",1,1.67250370459571e-06,13594.5593537606,FALSE
"embe",1,1.67250370459571e-06,13594.5593537606,FALSE
