Title,Vie_Martin,Vie_Martin,Dia_Martin,Dia_Martin,Vie_Brice,Vie_Brice,Vie_Gilles,Vie_Gilles,Vie_Martial,Vie_Martial,Vie_Nicolas,Vie_Nicolas,Vie_Jerome,Vie_Jerome,Vie_Benoit,Vie_Benoit,Vie_Alexis,Vie_Alexis
Corpus,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt
ADJord->DETdef->ADJqua,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1
ADJord->DETdef->NOMcom,1,3,0,3,0,3,0,3,0,3,1,3,0,3,0,3,0,3
ADJord->DETpos->NOMcom,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ADJord->NOMcom->ADJqua,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJord->NOMcom->ADVgen,0,5,2,5,0,5,0,5,1,5,0,5,0,5,0,5,0,5
ADJord->NOMcom->CONcoo,2,9,2,9,0,9,0,9,0,9,1,9,1,9,2,9,0,9
ADJord->NOMcom->CONsub,0,6,0,6,0,6,0,6,0,6,0,6,0,6,1,6,0,6
ADJord->NOMcom->DETndf,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJord->NOMcom->PONfbl,0,7,0,7,0,7,0,7,1,7,1,7,0,7,1,7,0,7
ADJord->NOMcom->PONfrt,1,5,2,5,0,5,0,5,0,5,1,5,0,5,1,5,0,5
ADJord->NOMcom->PRE,0,12,4,12,1,12,1,12,2,12,1,12,0,12,0,12,0,12
ADJord->NOMcom->PRE.DETdef,0,2,1,2,0,2,0,2,0,2,0,2,0,2,0,2,1,2
ADJord->NOMcom->PROadv,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1
ADJord->NOMcom->PROper,1,2,0,2,0,2,0,2,0,2,0,2,0,2,1,2,0,2
ADJord->NOMcom->PROrel,0,4,3,4,0,4,0,4,1,4,1,4,0,4,0,4,0,4
ADJord->NOMcom->PROrel.PROper,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ADJord->NOMcom->VERcjg,1,12,2,12,0,12,0,12,4,12,1,12,0,12,1,12,0,12
ADJord->NOMcom->VERppe,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJord->PONfbl->PROper,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJord->PONfrt->DETdef,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJord->PRE->DETdef,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJord->PRE->DETpos,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJord->PRE->NOMcom,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJord->PRE->NOMpro,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJord->PROadv->VERcjg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ADJord->PROper->VERcjg,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJord->PROrel->PROper,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJord->VERcjg->PRE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJord->VERcjg->PROper,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1
ADJord->VERinf->PRE,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJord->VERppe->PRE,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJpos->ADJord->NOMcom,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJpos->ADJpos->VERcjg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
