Title,Vie_Martin,Vie_Martin,Dia_Martin,Dia_Martin,Vie_Brice,Vie_Brice,Vie_Gilles,Vie_Gilles,Vie_Martial,Vie_Martial,Vie_Nicolas,Vie_Nicolas,Vie_Jerome,Vie_Jerome,Vie_Benoit,Vie_Benoit,Vie_Alexis,Vie_Alexis
Corpus,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt
Neapolis,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Nepotien,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
Nerva,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Nicolas,0,0,0,0,0,0,0,0,0,0,0,219,0,0,0,0,0,0
Nicé,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Nil,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nitre,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noiron,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Normendie,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Nuiton,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Nursie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Origene,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orliens,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Orïent,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Pannone,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pannonie,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Paris,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pasque,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Patara,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Paul,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Paulin,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perpetuus,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Phellos,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
