pos;F;61_Ano_Leg-B_NA_NA_NA_Jugement;05_y_Leg-_A_Ap__tr_Vie;02_Ano_Leg-A_Ap_NA_Pas_Paul;54_Ano_Leg-C_Vi_NA_Vie_Pelagie;60_Ano_Leg-B_NA_NA_NA_Antechriste;14_Ano_Leg-B_Ma_Ho_Vie_Vincent;42_Ano_Leg-B_Vi_NA_Ass_NotreDame;29_Wau_Leg-C_Co_Ev_Vie_Martin;58_Ano_Leg-C_Vi_NA_Vie_MarieEgyptienne;52_Ano_Leg-C_Co_NA_Vie_Fursi;04_Ano_Leg-A_Ap_NA_Vie_Jean_Ev;01_Ano_Leg-A_Ap_NA_Vie_Pierre2;11_Ano_Leg-A_Ap_NA_Vie_Marc;38_Wau_Leg-C_Co_Ev_Vie_Jerome;00_Ano_Leg-A_Ap_Ev_Dis_Pierre1;49_Ano_Leg-C_NA_NA_Vie_Maur;41_Ano_Leg-C_Vi_NA_Vie_Irene;30_Wau_Leg-C_Co_Ev_Tra_Martin2;08_Ano_Leg-A_Ap_NA_Vie_Philippe;63_Ric_Leg-N_NA_NA_NA_Bestiaire;56_Ano_Leg-C_Co_NA_Vie_Mamertin;21_Ano_Leg-B_Ma_Fe_Vie_Christine;35_Wau_Leg-C_Co_Ev_Vie_Nicolas;07_Ano_Leg-A_Ap_NA_Vie_SimonJude;53_Ano_Leg-C_Vi_NA_Vie_Marguerite;33_Wau_Leg-C_Co_Er_Vie_Gilles;03_Ano_Leg-A_Ap_NA_Mar_Jean;13_Ano_Leg-B_Ma_Ho_Vie_Sebastien;31_Wau_Leg-C_Co_Ev_Dia_Martin3;27_Ano_Leg-B_Ma_Ho_Vie_Pantaleon;34_Wau_Leg-C_Co_Ev_Vie_Martial;23_Ano_Leg-B_Ma_Ho_Vie_Sixte;44_Ano_Leg-C_Ap_NA_Vie_Andre;10_Ano_Leg-A_Ap_NA_Vie_Barthelemy;22_Ano_Leg-B_Ma_Fe_Vie_Cecile;26_Ano_Leg-B_Ma_Ev_Vie_Lambert;09_Ano_Leg-A_Ap_NA_Vie_JacquesMineur;47_Ano_Leg-C_Co_er_Vie_PaulErmite;17_Ano_Leg-B_Ma_Fe_Vie_Agathe;37_Wau_Leg-C_Co_Ev_Tra_Nicolas3;15_Ano_Leg-B_Ma_Ho_Vie_Georges;18_Ano_Leg-B_Ma_Fe_Vie_Luce;48_Ano_Leg-C_Co_ev_Tra_Benoit2;45_Ano_Leg-C_Ap_NA_Pas_Andre2;28_Ano_Leg-B_Ma_Ho_Vie_Clement;64_Ano_Leg-N_NA_NA_NA_Bestiaire2;20_Ano_Leg-B_Ma_Fe_Vie_Felicite;59_Ano_Leg-C_Vi_NA_Vie_Euphrasie;19_Ano_Leg-B_Ma_Fe_Vie_Agnes;46_Ano_Leg-B_Co_NA_Pur_Patrice;55_Ano_Leg-C_Co_NA_Vie_Simeon;06_Ano_Leg-A_Ap_NA_Vie_Matthieu;32_Wau_Leg-C_Co_Ev_Vie_Brice;16_Ano_Leg-B_Ma_Ho_Vie_Christophe;40_Wau_Leg-C_Co_Er_Vie_Alexis;51_Ano_Leg-C_Ma_ho_Vie_Eustache;24_Ano_Leg-B_Ma_Ho_Vie_Laurent;57_Ano_Leg-C_Vi_NA_Vie_Julien;12_Ano_Leg-A_Ma_Ho_Vie_Longin;43_Ano_Leg-C_Vi_NA_Vie_Catherine;50_Ano_Leg-C_NA_NA_Vie_Placide;25_Ano_Leg-B_Ma_Ho_Vie_Hippolyte;39_Wau_Leg-C_Co_Ev_Vie_Benoit;62_Ano_Leg-N_NA_NA_NA_Index;36_Wau_Leg-C_Co_Ev_Mir_Nicolas2
NOMcom VERppe PRE.DETdef;33;0;4;0;0;0;0;0;2;0;0;0;1;1;0;1;0;0;0;0;1;0;1;0;1;0;1;0;0;1;3;4;0;1;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;1
VERppe PRE.DETdef NOMcom;241;0;12;6;0;0;5;4;13;1;3;3;3;2;0;8;2;3;0;1;7;0;3;1;6;2;3;0;2;13;7;12;2;2;4;8;3;0;2;1;5;1;1;1;10;1;4;1;3;5;5;2;5;0;6;4;2;4;4;3;10;3;0;6;0;11
NOMcom PRE.DETdef PROind;11;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
PRE.DETdef PROind PONfbl;5;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PROind PONfbl CONcoo;14;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VERcjg PROind ADVgen;49;0;2;0;0;0;1;3;2;0;0;0;0;0;0;1;3;1;0;0;3;0;0;2;1;0;0;0;0;3;1;8;0;1;1;1;0;0;0;0;0;0;0;0;3;0;2;1;0;1;3;0;2;1;1;0;0;0;0;0;0;0;0;1;0;0
PROind ADVgen PONfbl;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
ADVgen PONfbl PRE;135;0;6;1;0;0;1;3;8;1;0;1;1;1;1;3;0;3;5;0;0;0;3;1;3;0;0;0;2;6;1;18;2;0;3;3;3;1;3;1;7;0;1;0;7;1;0;0;0;4;0;1;2;1;2;5;0;0;0;1;1;0;3;10;0;4
PONfbl PRE VERinf;26;0;1;0;0;0;0;0;3;0;0;2;0;0;0;0;1;0;0;0;1;0;2;1;0;0;1;0;0;5;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1
ADJqua PRE NOMcom;203;0;9;1;2;0;2;0;5;2;3;9;3;2;1;7;2;5;0;0;8;1;6;1;3;1;1;0;5;11;4;5;0;3;1;7;3;0;1;3;2;1;0;2;12;1;7;1;2;7;13;1;6;0;1;1;2;2;0;2;10;1;2;4;0;6
CONcoo INJ ADVgen;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INJ ADVgen VERcjg;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADVgen VERcjg ADVsub;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VERcjg ADVsub DETpos;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
ADVsub DETpos NOMcom;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
NOMcom OUT OUT;9;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
OUT OUT VERcjg;4;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OUT VERcjg OUT;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VERcjg OUT CONcoo;10;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0
OUT CONcoo VERcjg;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
PROrel VERcjg DETpos;88;0;5;1;0;0;1;0;2;1;0;1;4;0;0;2;3;0;0;1;3;0;6;1;0;1;1;0;1;2;1;3;1;0;1;1;2;0;1;0;4;0;1;1;6;0;10;0;1;1;0;2;2;0;2;0;2;1;2;0;1;0;0;5;0;1
NOMcom VERcjg DETind;104;0;3;2;0;0;2;3;3;2;0;0;0;0;4;0;2;4;1;1;4;0;2;0;0;0;0;0;2;2;4;9;1;1;1;4;2;0;3;3;2;2;0;0;1;1;2;0;6;2;6;1;1;0;1;2;2;0;1;0;4;0;1;3;0;1
DETpos ADJqua VERppe;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
ADJqua VERppe PONfrt;55;0;4;0;0;0;0;0;1;0;0;3;0;0;0;0;8;0;0;0;1;0;0;0;1;1;0;0;0;1;2;0;0;1;0;1;0;0;0;0;2;0;0;7;1;0;0;0;0;1;0;0;0;0;2;2;0;0;0;0;1;1;1;9;3;1
VERppe PONfrt DETind;9;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1
PONfrt DETind DETdem;5;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
DETdem NOMcom ADJqua;34;0;2;1;0;0;0;0;0;0;1;1;1;0;1;2;0;1;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;1;0;1;1;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;4;0;0;3;0;1
VERcjg NOMcom NOMpro;69;0;3;1;0;0;0;1;0;1;1;2;0;0;0;1;1;2;0;0;0;0;3;0;2;6;0;0;0;3;1;2;0;0;1;0;0;0;0;0;1;3;1;0;10;2;0;2;1;0;1;1;2;0;0;1;1;2;0;0;2;4;0;2;1;1
NOMcom NOMpro VERcjg;55;0;4;1;0;0;3;2;1;2;1;1;2;0;0;0;0;1;0;0;0;0;0;0;1;4;0;0;0;1;1;2;0;0;1;1;1;1;0;0;2;0;1;0;4;0;3;0;1;0;1;0;1;0;3;3;1;0;0;0;0;0;0;2;0;2
NOMpro VERcjg DETdef;29;0;2;0;0;0;1;1;2;0;0;3;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;2;0;0;1;5;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;2;0;0;0;0;1
PROdem PROrel DETdef;76;0;5;2;0;0;2;0;2;1;0;2;1;2;0;1;6;1;0;0;1;0;3;0;4;0;0;0;0;3;2;1;0;1;2;1;0;1;1;1;2;0;0;0;3;0;1;4;0;0;2;0;3;0;2;3;0;0;1;0;2;0;0;4;0;3
NOMcom PONfbl ADVint;6;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
PONfbl ADVint VERcjg;7;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
ADVint VERcjg PROper;24;0;1;3;2;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;4;0;0;0;0;0
VERcjg PROper VERinf;184;0;5;4;0;0;2;1;15;3;2;3;2;1;0;3;1;0;0;0;9;1;4;1;5;1;2;0;4;12;7;5;4;1;3;8;1;1;1;0;4;3;0;1;6;1;7;0;0;2;2;1;4;0;13;2;2;0;0;2;6;0;0;7;0;9
PROper VERinf CONsub;28;0;1;2;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;4;0;1;0;0;0;0;0;0;4;1;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1
VERcjg PROdem PRE;48;0;6;1;0;0;1;0;7;1;0;1;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;3;1;2;0;0;0;1;0;0;1;0;3;1;0;1;3;0;2;0;0;0;0;0;1;2;1;0;0;0;1;0;0;0;0;2;0;2
ADVneg VERppe PROper;3;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VERppe PROper CONcoo;8;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
PROper CONcoo PONfrt;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
CONcoo PONfrt CONsub;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NOMcom PROper CONcoo;24;0;6;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0;2;0;0;0;2;0;0;0;2;0;1;1;0;1;0;0;0;0;0;1
PROper CONcoo DETdef;21;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;3;0;0;0;1;0;1;0;0;0;0;0;0;1;0;2
DETdef PROind NOMcom;19;0;2;0;0;0;0;1;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;2;2;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
PROind NOMcom VERcjg;6;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
CONsub PROdem ADVneg;39;0;3;1;0;0;0;1;4;0;0;1;0;0;0;3;1;2;0;0;5;0;0;0;1;0;0;0;0;3;0;0;0;1;0;2;0;0;0;0;1;0;0;0;1;0;3;0;0;0;1;0;0;0;0;0;0;1;0;0;3;0;0;1;0;0
VERcjg VERinf CONsub;87;0;2;0;1;0;0;0;3;1;0;2;1;1;3;2;5;0;0;0;5;0;0;0;3;0;1;0;0;4;1;1;1;1;0;4;1;0;0;1;0;3;0;1;2;1;13;1;2;4;2;0;3;0;0;0;0;0;0;0;2;2;0;3;0;4
CONcoo NOMcom CONsub;51;0;4;0;0;0;0;0;3;1;0;1;2;1;0;3;0;0;0;1;1;0;0;0;2;1;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;9;0;0;3;0;0;0;0;2;1;0;2;0;0;1;0;0;4;0;3
CONsub PROper ADVneg.PROper;10;0;2;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
PROper ADVneg.PROper VERcjg;15;0;2;0;0;0;0;0;1;0;0;0;2;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0
ADVneg.PROper VERcjg CONcoo;6;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
VERinf ADVgen ADVgen;70;0;7;1;2;0;1;0;1;1;1;1;1;0;2;0;2;0;0;0;1;0;0;0;0;0;1;0;0;4;3;3;1;1;1;2;0;0;1;1;2;1;1;1;1;0;4;0;0;2;4;3;0;1;1;2;0;0;0;0;1;0;0;7;0;0
ADVgen ADVgen PRE;222;0;12;1;2;0;3;1;7;3;1;0;2;0;4;2;5;2;1;0;8;1;3;3;3;0;4;0;2;16;4;10;0;0;2;3;6;0;5;1;9;1;4;1;8;1;10;0;3;2;8;2;3;0;6;6;2;0;4;2;7;0;0;21;0;5
ADVgen PRE ADVgen;85;0;3;1;0;0;1;0;7;0;0;0;0;0;1;0;2;0;0;0;3;1;1;3;1;0;2;0;0;7;3;3;0;0;1;1;1;1;1;0;3;0;0;0;2;2;4;1;4;1;3;0;1;0;2;3;0;1;0;0;5;1;0;5;0;3
PRE ADVgen VERppe;27;0;4;1;0;0;1;0;1;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;1;2;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;2;0;1
PRE ADVgen NOMcom;40;0;5;0;0;0;1;0;0;0;0;1;0;0;0;2;0;0;0;0;4;0;1;1;0;0;0;0;2;0;3;1;0;0;0;1;0;0;1;0;1;1;0;0;0;1;0;0;0;1;2;0;2;0;2;0;0;0;0;1;1;3;1;0;0;1
CONcoo DETdef VERcjg;14;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0
DETdef VERcjg VERinf;5;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NOMcom VERcjg VERinf;230;0;10;3;1;0;5;2;12;4;2;6;5;2;1;3;6;1;0;1;8;2;2;1;8;0;4;0;2;12;2;14;0;0;1;5;8;0;4;2;3;2;1;5;3;2;19;2;1;2;6;0;3;1;5;5;0;0;2;1;8;1;1;12;0;6
VERcjg VERinf DETpos;86;0;3;0;0;0;2;0;1;1;0;1;1;0;1;2;1;1;0;0;2;1;1;2;2;0;1;0;0;3;1;4;4;1;1;2;1;0;0;1;5;2;1;1;3;0;5;1;0;0;2;1;0;0;4;2;0;0;2;1;0;3;0;8;0;4
DETdef NOMcom ADVneg;122;0;5;1;1;0;3;1;8;4;2;3;0;0;0;1;2;0;0;0;4;0;1;0;0;0;1;0;0;13;2;2;0;0;0;0;3;0;2;1;5;1;0;0;4;1;7;0;1;5;10;0;4;0;1;1;4;0;2;0;2;1;0;8;0;5
PONfrt CONcoo DETdem;72;0;2;0;0;0;2;1;5;0;0;2;2;0;0;2;0;1;1;0;6;0;1;1;3;0;0;0;1;8;1;2;0;0;3;2;1;0;1;2;0;1;0;0;2;0;0;0;0;3;5;0;2;0;1;0;0;1;0;0;2;0;0;3;0;2
CONcoo DETdem NOMcom;107;0;3;1;0;0;3;1;8;0;0;1;2;0;1;2;0;1;1;0;3;0;2;0;2;0;0;0;2;9;1;3;0;3;5;2;1;0;1;3;2;1;1;0;7;0;0;0;1;2;6;0;2;1;3;1;0;1;0;0;6;0;1;7;0;4
VERppe PRE PROdem;56;0;2;0;1;0;1;0;2;1;0;0;0;0;0;1;4;1;0;0;2;1;5;0;2;0;0;0;0;3;2;0;0;1;1;1;0;1;1;0;1;0;2;2;4;0;1;2;0;2;1;1;1;0;0;0;0;1;0;0;1;1;0;1;0;2
VERinf PRE PROdem;54;0;3;0;1;0;1;0;5;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;3;0;0;0;0;5;1;0;0;1;2;3;0;0;3;0;1;0;1;0;1;0;3;0;1;0;1;0;0;0;3;0;0;1;0;0;5;0;0;5;0;2
PROdem CONsub OUT;6;0;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CONsub OUT DETdef;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PRE VERcjg OUT;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OUT CONcoo PRE;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
VERcjg NOMcom PONfbl;147;0;8;2;1;0;1;0;12;0;0;1;3;0;1;6;5;4;0;1;4;1;2;0;2;0;2;0;3;17;1;8;3;5;1;2;2;0;2;1;4;0;0;3;5;0;5;2;1;1;1;0;3;0;1;4;1;0;1;0;9;0;0;3;0;2
VERcjg VERinf VERppa;6;0;1;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VERinf VERppa ADJqua;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VERppa ADJqua PONfrt;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
ADJqua PONfrt NOMcom;48;0;7;0;0;0;0;0;1;0;0;3;1;0;0;5;1;0;0;0;3;1;1;0;3;0;0;0;2;3;1;1;0;0;0;0;2;0;0;0;1;1;0;0;0;0;3;1;0;0;1;0;1;0;1;0;1;0;1;0;1;0;0;0;0;1
VERcjg DETpos ADJcar;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DETpos ADJcar ADJqua;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADJcar ADJqua NOMcom;12;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;4
ADJqua NOMcom DETndf;21;0;2;0;0;0;0;0;1;0;2;0;1;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;2;0;0;1;0;0;0;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
NOMcom DETndf NOMcom;102;0;6;1;0;0;1;0;5;1;3;1;1;0;2;2;2;3;0;0;4;1;1;0;3;3;2;0;0;6;2;3;0;0;0;0;3;0;0;1;5;0;0;1;7;1;1;0;3;0;0;1;0;0;3;4;2;0;2;0;6;1;0;5;0;3
PONfrt CONcoo DETpos;232;0;16;2;1;0;7;5;9;1;0;3;2;1;2;4;4;2;0;0;7;0;7;1;9;4;1;1;7;9;7;8;2;3;4;9;6;1;2;4;2;6;1;2;7;0;1;0;4;9;3;1;1;0;14;5;1;3;4;4;3;0;0;3;0;7
CONcoo DETpos VERinf;3;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DETpos VERinf PROper;3;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
ADVgen VERcjg DETndf;119;0;5;4;0;0;1;1;3;0;0;4;0;1;0;0;1;2;0;0;6;0;3;2;1;0;2;0;1;14;0;3;0;1;0;1;0;1;4;1;6;3;0;1;13;2;3;0;0;2;1;3;1;1;0;0;0;2;1;0;5;1;0;9;0;3
